Onglet;Domaine;Sous Domaine;Indicateur;Champs;Formule;
Effectifs;Emploi;Départs;Nombre de démissions;Ouvrier;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'démission' et [CSP] est 'Ouvrier'
Effectifs;Emploi;Départs;Nombre de démissions;Technicien;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'démission' et [CSP] est 'Technicien'
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Cadre;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'licenciement économique' et [CSP] est 'Cadre'
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Agent de Maitrise ;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'licenciement économique' et [CSP] est 'Agent de maitrise'
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Employé;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'licenciement économique' et [CSP] est 'employé'
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Ouvrier;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'licenciement économique' et [CSP] est 'Ouvrier'
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Technicien;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] est 'licenciement économique' et [CSP] est 'Technicien'
Effectifs;Emploi;Départs;Nombre de licenciements pour d'autres causes;Cadre;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et  [Nature de la fin de contrat] notin('licenciement économique', 'démission') et [CSP] est 'Cadre'
Effectifs;Emploi;Départs;Nombre de licenciements pour d'autres causes;Agent de Maitrise ;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] notin('licenciement économique', 'démission') et [CSP] est 'Agent de maitrise'
Effectifs;Emploi;Départs;Nombre de licenciements pour d'autres causes;Employé;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et [Nature de la fin de contrat] notin('licenciement économique', 'démission') et [CSP] est 'employé'
Effectifs;Emploi;Départs;Nombre de licenciements pour d'autres causes;Ouvrier;Nombre [matricule] par [structure] dont année[Date de sortie] est 'référence' et  [Nature de la fin de contrat] notin('licenciement économique', 'démission') et [CSP] est 'Ouvrier'
